item_id	item_text	expected_vision	expected_specialist	notes	run_1_vision_check	run_2_vision_check	run_3_vision_check	majority_vision_check	vision_check_call_id	no_call_verdict	no_call_verdict_reason
EL-1.1	Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground clearance from overhead electric conductors	yes	measure-distance	subClassification=distance-only	generic	generic	measurement	generic	run-1:20260511T220549738Z-eysu; run-1:20260511T222210920Z-b9pb; run-2:20260511T222035428Z-5g9k; run-3:20260511T220549739Z-0r8q	n/a	n/a
EL-1.10	Fence posts do not maintain minimum 10-foot horizontal clearance from overhead electric poles	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	"2 not-verifiable + 1 n/a — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance. Agent: ""Without dimension annotations showing the distance from pole centers/edges to fence post locations, the 10-foot clearance requirement cannot be verified."""
EL-1.11	Fences connecting to or near substation fences not electrically isolated with 10-foot non-conductive isolation panel connecting the two fences	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.12	Fencing near electric transmission lines not constructed of non-conductive material or not properly grounded, or specifications and grounding details not provided	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.13	Vehicle barrier fencing beneath overhead electric lines does not maintain minimum 7.5-foot sky-to-ground clearance from outermost electric line or lacks vertical and horizontal clearance verification exhibits	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.14	Retaining walls do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outermost electric line where overhead facilities are present	yes	measure-distance	subClassification=distance-only	none	none	measurement	none	run-3:20260511T223811457Z-9648	mixed	Runs disagreed: 2 not-verifiable + 1 fail. No dominant signal; needs manual review.
EL-1.15	Retaining walls adjacent to Austin Energy substation walls do not maintain minimum 5-foot separation to allow for grounding grid extension, wall inspection, wall replacement, and proper drainage	yes	measure-distance	subClassification=distance-plus	none	none	none	none		valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""Substation separation requirement does not apply."""
EL-1.16	Emergency access structures (bridges, elevated platforms) do not maintain minimum 7.5-foot sky-to-ground clearance and 15-foot radial clearance from outside conductor of overhead electric facilities	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.17	Retaining walls lack section exhibits showing dimensions from outer electric conductor to outermost edge of wall for clearance verification	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.18	Driveways do not maintain minimum 16-foot vertical clearance (parking without truck traffic) or 18-foot vertical clearance (areas with truck traffic) from lowest point of overhead electric facilities including telecommunications attachments	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.19	Vehicles parked or displayed on concrete pads do not maintain minimum vertical clearance from lowest overhead electric lines, or requirement not noted on site plans	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.2	Customer facilities do not maintain minimum 15-foot radial clearance from outside conductor of overhead distribution primary and neutral conductors	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	"3 not-verifiable — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance. Agent: ""Without explicit dimension callouts and without confirmation of the conductor type, compliance cannot be verified from the submitted plans."""
EL-1.20	Final road and driveway grades do not maintain minimum 30-foot vertical clearance from electric transmission lines to ground surface	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.21	Final highway and freeway grades with distribution underbuilt do not maintain minimum 40-foot vertical clearance from overhead electric lines to road surface	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.22	Existing electric poles in conflict with proposed driveways not relocated minimum 30 feet from edge of driveway	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	"2 not-verifiable + 1 n/a — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance. Agent: ""Without explicit dimension annotations confirming either pole-to-driveway distances or relocation notes indicating poles moved 30+ feet from driveway edges, compliance cannot be verified."""
EL-1.23	Clearance dimensions measured from utility pole or centerline instead of from outside conductor or outermost electric line as required by code	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.24	Streetlight poles located under overhead electric lines	yes	measure-distance	subClassification=distance-only	none	none	none	none		mixed	Runs disagreed: 1 not-verifiable + 1 n/a + 1 pass. No dominant signal; needs manual review.
EL-1.25	Sidewalks not cleared from existing power poles at each end of property along right-of-way	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	"3 not-verifiable — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance. Agent: ""Without dimension annotations or notes clarifying the treatment of power poles at property corners where sidewalks meet the ROW, compliance cannot be verified."""
EL-1.26	Enclosed trash areas and trash receptacles placed under overhead electric facilities creating risk of contact when trash bins are raised during service	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_probable	"3 not-verifiable — agent gave up across all 3 runs without invoking measurement. No explicit ""no dimensions"" phrase, but reasoning (Without specific location identification and vertical clearance dimension callouts accounting for raised bin heights, the clearance require…) suggests measure-distance could have helped."
EL-1.27	Customer facilities proposed to be installed under or over Austin Energy overhead distribution facilities in violation of prohibition, or items within electric easements do not maintain minimum 7.5-foot clearance from outside conductor	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_other	3 fail — agent reached a real verdict without needing measurement.
EL-1.28	Water meters do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of existing overhead electric service drops	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	3 not-verifiable — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance.
EL-1.29	Water lines do not maintain minimum clearance from existing overhead electrical distribution facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_missing_dimensions	"3 not-verifiable — agent saw the feature but said dimensions weren't annotated; measure-distance would have computed the clearance. Agent: ""Without dimension annotations confirming safe clearance distances between water line routing and overhead distribution infrastructure, compliance cannot be verified."""
EL-1.3	Building projections (overhangs, awnings, balconies, decks, roofs, patios) do not maintain required clearances from overhead electric conductors	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.30	Permanent foundations within 5 feet of property line do not allow necessary clearance space for electric facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_probable	"3 not-verifiable — agent gave up across all 3 runs without invoking measurement. No explicit ""no dimensions"" phrase, but reasoning (Without dimension annotations from building foundations to property lines showing sufficient space for utility clearances, and without docu…) suggests measure-distance could have helped."
EL-1.31	Survey by registered surveyor showing pole locations and mid-span clearances not provided when existing overhead facilities may not meet minimum vertical clearance requirements	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
