department	checklist_item_id	ref	run	tools_used	used_vision	used_semantic_search	tool_count
crc-aw-redlines	AW-RL-1	crc-aw-redlines:AW-RL-1	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-aw-redlines	AW-RL-2	crc-aw-redlines:AW-RL-2	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-3	crc-aw-redlines:AW-RL-3	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-4	crc-aw-redlines:AW-RL-4	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-5	crc-aw-redlines:AW-RL-5	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-6	crc-aw-redlines:AW-RL-6	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-aw-redlines	AW-RL-7	crc-aw-redlines:AW-RL-7	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-8	crc-aw-redlines:AW-RL-8	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-9	crc-aw-redlines:AW-RL-9	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-10	crc-aw-redlines:AW-RL-10	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.1	crc-aw:AW-1.1	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.2	crc-aw:AW-1.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.3	crc-aw:AW-1.3	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.4	crc-aw:AW-1.4	run-1	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-2	crc-aw:AW-2	run-1		FALSE	FALSE	0
crc-awrr	AWRR-2.1	crc-awrr:AWRR-2.1	run-1		FALSE	FALSE	0
crc-awrr	AWRR-2.2	crc-awrr:AWRR-2.2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-awrr	AWRR-3	crc-awrr:AWRR-3	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-awrr	AWRR-4	crc-awrr:AWRR-4	run-1	mcp__conductor_tools__run_semantic_search_blocks,mcp__conductor_tools__crc_vision_check	TRUE	TRUE	2
crc-ca-1	CA-01.1	crc-ca-1:CA-01.1	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-01.2	crc-ca-1:CA-01.2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-01.3	crc-ca-1:CA-01.3	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-02	crc-ca-1:CA-02	run-1		FALSE	FALSE	0
crc-ca-1	CA-03	crc-ca-1:CA-03	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-04	crc-ca-1:CA-04	run-1		FALSE	FALSE	0
crc-ca-1	CA-05	crc-ca-1:CA-05	run-1		FALSE	FALSE	0
crc-ca-1	CA-06	crc-ca-1:CA-06	run-1		FALSE	FALSE	0
crc-ca-1	CA-07.1	crc-ca-1:CA-07.1	run-1		FALSE	FALSE	0
crc-ca-1	CA-07.2	crc-ca-1:CA-07.2	run-1		FALSE	FALSE	0
crc-ca-1	CA-08	crc-ca-1:CA-08	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-09	crc-ca-1:CA-09	run-1		FALSE	FALSE	0
crc-ca-1	CA-10	crc-ca-1:CA-10	run-1		FALSE	FALSE	0
crc-ca-1	CA-11	crc-ca-1:CA-11	run-1		FALSE	FALSE	0
crc-ca-1	CA-12	crc-ca-1:CA-12	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-13.1	crc-ca-1:CA-13.1	run-1		FALSE	FALSE	0
crc-ca-1	CA-13.2	crc-ca-1:CA-13.2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-1	CA-14	crc-ca-1:CA-14	run-1		FALSE	FALSE	0
crc-ca-1	CA-15.1	crc-ca-1:CA-15.1	run-1		FALSE	FALSE	0
crc-ca-1	CA-15.2	crc-ca-1:CA-15.2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-2	CA-16	crc-ca-2:CA-16	run-1		FALSE	FALSE	0
crc-ca-2	CA-17	crc-ca-2:CA-17	run-1		FALSE	FALSE	0
crc-ca-2	CA-18	crc-ca-2:CA-18	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-2	CA-19	crc-ca-2:CA-19	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-2	CA-20	crc-ca-2:CA-20	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-2	CA-21	crc-ca-2:CA-21	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ca-2	CA-22	crc-ca-2:CA-22	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-cm	CM-9	crc-cm:CM-9	run-1		FALSE	FALSE	0
crc-cm	CM-10	crc-cm:CM-10	run-1		FALSE	FALSE	0
crc-cm	CM-11	crc-cm:CM-11	run-1		FALSE	FALSE	0
crc-cm	CM-12	crc-cm:CM-12	run-1	crc-vision-check	TRUE	FALSE	1
