department	checklist_item_id	run1_status	run2_status	run3_status	run4_status	run5_status	vote_split	majority_status	confidence	is_high_variance
crc-AW	AW-1.2	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-AW	AW-1.4	failed	resolved	resolved	failed	failed	2-3-0-0	uncertain	medium	true
crc-CA	CA-16.1	resolved	resolved	failed	failed	failed	2-3-0-0	uncertain	medium	true
crc-CM	CM-8	resolved	failed	resolved	resolved	failed	3-2-0-0	uncertain	medium	true
crc-DE	DE-14.1	resolved	failed	failed	resolved	failed	2-3-0-0	uncertain	medium	true
crc-DE	DE-23	resolved	failed	resolved	failed	failed	2-3-0-0	uncertain	medium	true
crc-DE	DE-27.2	failed	resolved	failed	failed	resolved	2-3-0-0	uncertain	medium	true
crc-DE	DE-31	resolved	failed	failed	failed	resolved	2-3-0-0	uncertain	medium	true
crc-EV	EV-05.2	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-EV	EV-05.4	failed	resolved	failed	resolved	resolved	3-2-0-0	uncertain	medium	true
crc-F	F-7	failed	resolved	failed	resolved	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-23.2	resolved	failed	failed	resolved	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-30.1	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-30.2	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-30.3	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-31.2	failed	resolved	failed	resolved	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-32.2	resolved	failed	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-36.1	failed	resolved	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-36.4	resolved	resolved	failed	failed	resolved	3-2-0-0	uncertain	medium	true
crc-SP	SP-41	failed	failed	resolved	failed	resolved	2-3-0-0	uncertain	medium	true
crc-SP	SP-43	failed	resolved	resolved	resolved	failed	3-2-0-0	uncertain	medium	true
crc-SP	SP-48	resolved	failed	failed	failed	resolved	2-3-0-0	uncertain	medium	true
crc-TPW	TPW-12.3	failed	resolved	resolved	failed	resolved	3-2-0-0	uncertain	medium	true
crc-TPW	TPW-8	resolved	failed	failed	failed	resolved	2-3-0-0	uncertain	medium	true
crc-WQ	WQ-1	resolved	resolved	failed	failed	failed	2-3-0-0	uncertain	medium	true
crc-WQ	WQ-8.1	resolved	failed	failed	failed	resolved	2-3-0-0	uncertain	medium	true
crc-AW	AW-2	failed	failed	failed	failed	resolved	1-4-0-0	failed	medium	true
crc-CA	CA-11	resolved	failed	failed	failed	failed	1-4-0-0	failed	medium	true
crc-CA	CA-13.1	resolved	failed	failed	failed	failed	1-4-0-0	failed	medium	true
crc-CA	CA-13.2	resolved	failed	failed	failed	failed	1-4-0-0	failed	medium	true
crc-CA	CA-14	resolved	failed	failed	failed	failed	1-4-0-0	failed	medium	true
