department	checklist_item_id	ref	run1_status	run2_status	run3_status	run4_status	run5_status	vote_split	majority_status	confidence	run_count	is_high_variance
crc-aw	AW-1.2	crc-aw:AW-1.2	failed	failed	failed	not-applicable	failed	4-1	failed	medium	5	TRUE
crc-aw	AW-2	crc-aw:AW-2	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-aw-redlines	AW-RL-3	crc-aw-redlines:AW-RL-3	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-aw-redlines	AW-RL-8	crc-aw-redlines:AW-RL-8	failed	failed	resolved	failed	resolved	3-2	failed	medium	5	TRUE
crc-awrr	AWRR-2.1	crc-awrr:AWRR-2.1	resolved	failed	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-awrr	AWRR-2.2	crc-awrr:AWRR-2.2	resolved	failed	failed	failed	resolved	3-2	failed	medium	5	TRUE
crc-ca	CA-03	crc-ca:CA-03	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-ca	CA-06	crc-ca:CA-06	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-ca	CA-07.1	crc-ca:CA-07.1	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-de	DE-0	crc-de:DE-0	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-1	crc-de:DE-1	failed	failed	not-applicable	failed	not-applicable	3-2	failed	medium	5	TRUE
crc-de	DE-13	crc-de:DE-13	failed	resolved	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-17	crc-de:DE-17	failed	resolved	resolved	failed	failed	3-2	failed	medium	5	TRUE
crc-de	DE-22	crc-de:DE-22	failed	failed	resolved	resolved	resolved	3-2	resolved	medium	5	TRUE
crc-de	DE-23	crc-de:DE-23	resolved	failed	resolved	failed	failed	3-2	failed	medium	5	TRUE
crc-de	DE-24	crc-de:DE-24	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-de	DE-25	crc-de:DE-25	failed	failed	failed	failed	not-applicable	4-1	failed	medium	5	TRUE
crc-de	DE-26	crc-de:DE-26	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-27	crc-de:DE-27	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-de	DE-28	crc-de:DE-28	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-de	DE-30	crc-de:DE-30	failed	failed	failed	resolved	failed	4-1	failed	medium	5	TRUE
crc-de	DE-31	crc-de:DE-31	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-32	crc-de:DE-32	resolved	resolved	failed	failed	failed	3-2	failed	medium	5	TRUE
crc-de	DE-33	crc-de:DE-33	failed	failed	MISSING	resolved	failed	3-1	failed	medium	4	TRUE
crc-de	DE-4	crc-de:DE-4	resolved	resolved	resolved	failed	resolved	4-1	resolved	medium	5	TRUE
crc-de	DE-5	crc-de:DE-5	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-6	crc-de:DE-6	resolved	failed	failed	resolved	failed	3-2	failed	medium	5	TRUE
crc-de	DE-7	crc-de:DE-7	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-de	DE-8	crc-de:DE-8	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-ev	EV-01	crc-ev:EV-01	failed	resolved	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-ev	EV-02	crc-ev:EV-02	failed	resolved	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-ev	EV-03	crc-ev:EV-03	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-ev	EV-05.1	crc-ev:EV-05.1	resolved	resolved	failed	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-ev	EV-05.2	crc-ev:EV-05.2	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-ev	EV-05.3	crc-ev:EV-05.3	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-ev	EV-05.4	crc-ev:EV-05.4	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-ev	EV-07	crc-ev:EV-07	resolved	resolved	failed	failed	resolved	3-2	resolved	medium	5	TRUE
crc-ev	EV-08	crc-ev:EV-08	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-ev	EV-12	crc-ev:EV-12	failed	failed	resolved	failed	resolved	3-2	failed	medium	5	TRUE
crc-ev	EV-13	crc-ev:EV-13	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-ev	EV-14	crc-ev:EV-14	failed	failed	resolved	failed	resolved	3-2	failed	medium	5	TRUE
crc-ev	EV-15	crc-ev:EV-15	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-f	F-1.1	crc-f:F-1.1	failed	not-applicable	not-applicable	failed	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-f	F-1.2	crc-f:F-1.2	resolved	resolved	failed	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-f	F-3	crc-f:F-3	failed	failed	not-applicable	failed	failed	4-1	failed	medium	5	TRUE
crc-f	F-4	crc-f:F-4	failed	resolved	failed	resolved	resolved	3-2	resolved	medium	5	TRUE
crc-iw	IW-0.2	crc-iw:IW-0.2	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-owb	OWB-5	crc-owb:OWB-5	failed	resolved	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-pb	PB-1	crc-pb:PB-1	resolved	resolved	resolved	failed	resolved	4-1	resolved	medium	5	TRUE
crc-pr	PR-3	crc-pr:PR-3	resolved	resolved	resolved	resolved	failed	4-1	resolved	medium	5	TRUE
crc-pr	PR-4	crc-pr:PR-4	resolved	failed	resolved	resolved	failed	3-2	resolved	medium	5	TRUE
crc-sp	SP-10	crc-sp:SP-10	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-12	crc-sp:SP-12	resolved	resolved	resolved	failed	failed	3-2	resolved	medium	5	TRUE
crc-sp	SP-13	crc-sp:SP-13	failed	resolved	failed	resolved	failed	3-2	failed	medium	5	TRUE
crc-sp	SP-17	crc-sp:SP-17	failed	resolved	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-21	crc-sp:SP-21	failed	failed	resolved	resolved	failed	3-2	failed	medium	5	TRUE
crc-sp	SP-23	crc-sp:SP-23	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-sp	SP-29	crc-sp:SP-29	not-applicable	not-applicable	not-applicable	failed	failed	3-2	not-applicable	medium	5	TRUE
crc-sp	SP-33.1	crc-sp:SP-33.1	failed	resolved	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-35	crc-sp:SP-35	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-36.1	crc-sp:SP-36.1	resolved	failed	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-sp	SP-36.2	crc-sp:SP-36.2	resolved	failed	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-sp	SP-36.3	crc-sp:SP-36.3	failed	failed	failed	resolved	resolved	3-2	failed	medium	5	TRUE
crc-sp	SP-36.4	crc-sp:SP-36.4	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-sp	SP-37	crc-sp:SP-37	failed	failed	failed	failed	resolved	4-1	failed	medium	5	TRUE
crc-sp	SP-4	crc-sp:SP-4	failed	failed	failed	resolved	resolved	3-2	failed	medium	5	TRUE
crc-sp	SP-41	crc-sp:SP-41	resolved	failed	failed	failed	resolved	3-2	failed	medium	5	TRUE
crc-sp	SP-43	crc-sp:SP-43	failed	resolved	failed	resolved	failed	3-2	failed	medium	5	TRUE
crc-sp	SP-45.1	crc-sp:SP-45.1	resolved	failed	resolved	failed	resolved	3-2	resolved	medium	5	TRUE
crc-sp	SP-45.2	crc-sp:SP-45.2	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-46	crc-sp:SP-46	failed	failed	failed	resolved	failed	4-1	failed	medium	5	TRUE
crc-sp	SP-47	crc-sp:SP-47	resolved	resolved	failed	failed	failed	3-2	failed	medium	5	TRUE
crc-sp	SP-48	crc-sp:SP-48	resolved	failed	resolved	failed	failed	3-2	failed	medium	5	TRUE
crc-sp	SP-50	crc-sp:SP-50	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-10	crc-tpw:TPW-10	failed	failed	not-applicable	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-11	crc-tpw:TPW-11	failed	failed	not-applicable	not-applicable	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-tpw	TPW-12.2	crc-tpw:TPW-12.2	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-14	crc-tpw:TPW-14	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-16	crc-tpw:TPW-16	failed	failed	resolved	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-20	crc-tpw:TPW-20	resolved	failed	failed	failed	failed	4-1	failed	medium	5	TRUE
crc-tpw	TPW-6	crc-tpw:TPW-6	failed	failed	not-applicable	not-applicable	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-tpw	TPW-7	crc-tpw:TPW-7	failed	failed	not-applicable	not-applicable	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-tpw	TPW-8	crc-tpw:TPW-8	failed	failed	not-applicable	not-applicable	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-tpw	TPW-9	crc-tpw:TPW-9	failed	failed	not-applicable	not-applicable	not-applicable	3-2	not-applicable	medium	5	TRUE
crc-wq	WQ-1	crc-wq:WQ-1	resolved	resolved	resolved	failed	resolved	4-1	resolved	medium	5	TRUE
crc-wq	WQ-2	crc-wq:WQ-2	resolved	failed	resolved	resolved	resolved	4-1	resolved	medium	5	TRUE
crc-wq	WQ-8	crc-wq:WQ-8	failed	failed	resolved	resolved	resolved	3-2	resolved	medium	5	TRUE
crc-wq	WQ-9	crc-wq:WQ-9	resolved	failed	resolved	failed	resolved	3-2	resolved	medium	5	TRUE
crc-aw	AW-1.1	crc-aw:AW-1.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw	AW-1.3	crc-aw:AW-1.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw	AW-1.4	crc-aw:AW-1.4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
