case_number	ref	department	agent_status	agent_confidence	triage_status	triage_sub_status	bucket	pattern_tags	hypothesis_short	remediation_id	per_case_file
5	crc-AW:AW-2	AW	resolved	medium	none	none	un-triaged-resolved-or-na	any-vs-most-quantifier	The requirement is that the recorded plat covers ALL lots within the proposed development	R-4	per-case/005.md
90	crc-DE:DE-13	DE	resolved	medium	none	none	un-triaged-resolved-or-na	any-vs-most-quantifier	The item requires ALL drainage areas in the inlet table (SD-4A, SD-4B, SD-4C, SD-4D, SD-8) to be delineated on the storm drain plan consistently with the table	R-4	per-case/090.md
35	crc-CA:CA-04.3	CA	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	All three runs found a complete tree list on Sheet 8 with R/X/K status codes and a legend defining 'X - TREE TO BE REMOVED' -- at face value the item is sati...	R-5	per-case/035.md
117	crc-EV:EV-01	EV	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	The cover sheet genuinely contains the watershed note (with minor deviations: 'A URBAN' and an appended 'AS PER THE DATE OF THE SUBMITTAL')	R-5	per-case/117.md
118	crc-EV:EV-02	EV	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	The cover sheet contains an Edwards Aquifer note that is broader than the required text (excludes recharge AND contributing zones)	R-5	per-case/118.md
134	crc-EV:EV-08.1	EV	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	Sheet 52 Note 34 contains the required owner-maintenance note verbatim, LDC citation included	R-5	per-case/134.md
142	crc-EV:EV-13	EV	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	All three runs found the street yard boundary graphically delineated and labeled ('STREETYARD BOUNDARY') on Sheet 47	R-5	per-case/142.md
143	crc-EV:EV-14	EV	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	The tabulated street-yard calculation (27,804 sf yard, 6,000 sf landscaped = 21.6% > 20%) satisfies the atomized item on its face and all three runs agreed	R-5	per-case/143.md
187	crc-SP:SP-13	SP	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	The tracking table shows exactly what the item demands: 95% max building coverage for Tract 1	R-5	per-case/187.md
238	crc-TPW:TPW-1	TPW	resolved	high	none	none	un-triaged-resolved-or-na	atomization-incomplete	All three runs found Note 8 on the cover sheet containing the required Street Impact Fee language ('exact required language' per the reasoning)	R-5	per-case/238.md
274	crc-TPW:TPW-20.3	TPW	resolved	medium	none	none	un-triaged-resolved-or-na	atomization-incomplete	The majority cites concrete rack details on Sheet 33 (Class III 710S-1 and Class II 710S-2, with pipe sizes and base plate specs from the text blocks) -- con...	R-5	per-case/274.md
178	crc-SP:SP-4	SP	resolved	medium	none	none	un-triaged-resolved-or-na	label-formatting-missed	The item requires metes and bounds dimensioned ON THE SITE PLAN SHEET	R-2	per-case/178.md
4	crc-AW:AW-1.4	AW	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item has two prongs: legible AND obtained directly from Municode	R-2	per-case/004.md
73	crc-CM:CM-9	CM	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item asks that the index list every sheet AND that the index total match the actual number of sheets	R-2	per-case/073.md
79	crc-DE:DE-1	DE	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item requires DOCUMENTATION that existing impervious cover was constructed pre-1977 or previously permitted (preferred evidence: historical aerials, prio...	R-2	per-case/079.md
84	crc-DE:DE-8.1	DE	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|self-uncertainty-not-escalated	The item requires the trickle channel to COMPLY with DCM Section 6	R-2	per-case/084.md
86	crc-DE:DE-9	DE	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|self-uncertainty-not-escalated	The item enumerates specific profile annotations: 25/100-yr depths, velocities, flowrates, HGLs, construction stations, erosion-material stations	R-1	per-case/086.md
125	crc-EV:EV-05.5	EV	resolved	high	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item asks whether the silt-fence LABEL is clearly identifiable on the ESC plan sheet -- a legibility/graphic-clarity question about the drawing	R-2	per-case/125.md
131	crc-EV:EV-06.6	EV	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item requires the 430S-1 curb-and-gutter detail to be INCLUDED in the plan set	R-2	per-case/131.md
