callId	matched_item_id	match_score	match_method	matched_grade	classifier_route	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	checklist_text_preview	agent_question_preview
20260507T092517795Z-4e9i	cc-19:CC-19-22	1.00	exact	vision-only	generic	0.95	The agent is asking whether a floodplain note exists on the cover sheet and whether it contains specific text elements (FEMA FIRM Panel number, revision letter, effective date). This is a note-presence and content-readout check, not a drawing annotation inspection or measurement task.	vision	True		Floodplain note missing from cover sheet, or FEMA FIRM Panel number, revision letter, or effective d	Is there a floodplain note on this cover sheet that includes the FEMA FIRM Panel number (should be s
20260507T092519180Z-a122	cc-20:CC-20-01	1.00	exact	vision-only	generic	0.95	The agent is asking whether specific document elements (engineer's signature, seal, date, and qualifying language text) are present on the front page—this is a title-block/document-element presence and text-content check, not a drawing inspection or measurement task.	vision	True		Engineer's signature, seal, and date missing from front page of bound WQ/drainage documents, or seal	Does the front page (page 1) of this engineering and drainage report contain an engineer's signature
20260507T092529680Z-239o	cc-5:ADR-01	1.00	exact	vision-only	generic	0.95	The agent is performing a sheet-discovery check (looking for the presence of an 'Addressing Plan' sheet in the index), not inspecting drawing annotations or measuring clearances. This is a document/index presence verification task.	vision	True		Addressing information not shown on an Addressing Plan sheet or the overall site plan sheet, or not 	"Does the sheet index on this cover sheet include any sheet labeled as ""Addressing Plan"" or similar a"
20260507T092539286Z-4irn	cc-24:CC-24-03	1.00	exact	vision-only	generic	0.95	The agent is asking a presence/feature-identification question—whether streetscape elements appear anywhere on the sheet within the ROW—which is a sheet-discovery and feature-presence check, not a drawing-annotation inspection or measurement. The checklist requirement concerns document submission (License Agreement), but the agent's narrower progressive question is simply detecting whether such elements are depicted at all.	vision	True		License Agreement for streetscape elements in ROW (awnings, canopies, benches, bike racks, trash) no	Are there any bike racks, benches, trash receptacles, awnings, canopies, or other streetscape elemen
20260507T092544359Z-53pe	cc-5:ADR-07	1.00	exact	vision-only	generic	0.95	The agent is asking for a label readout and presence check of the project name and whether it includes an address number — this is a title-block/cover-sheet text inspection, not a spatial measurement or drawing annotation task.	vision	True		"Project name includes address number (e.g., ""1515 Main St Commons"" instead of ""Main St Commons"")"	"What is the project name shown on this cover sheet? Does it start with an address number like ""1700"""
20260507T092545427Z-58ts	cc-22:CC-22-12	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimensional annotations (labels showing distances between driveways) are present and visible on the drawing itself. This is a drawing-element inspection task, not a measurement task—the agent is checking for the presence and visibility of dimension callouts, which is a drawing_inspect responsibility.	inspect-drawing	True		Driveway spacing dimensions not shown on plans (DRV-02)	Are driveway spacing dimensions shown on this sheet? Look for dimensional annotations showing distan
20260507T092602087Z-fxpz	cc-23:CC-23-01	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether ROW width dimensions and labels are present and annotated on the drawing itself—a drawing-element inspection task, not a measurement task. The checklist requirement concerns annotation presence, and the agent question directly asks to verify those annotations are shown with dimension measurements on the sheet.	inspect-drawing	True		Existing ROW width not shown or not dimensioned (GRD-01)	Are the existing right-of-way widths shown and dimensioned on this sheet? Look for labels indicating
20260507T092602089Z-r6vo	cc-3:CC-3-14	1.00	exact	vision-only	generic	0.95	The agent is asking whether a Revision/Correction Table is present on the cover sheet and, if so, what its format looks like. This is a table-presence check and table-content readout, not a measurement or drawing-symbol inspection. The agent is verifying document structure and table completeness, which falls under generic visual inspection.	vision	True		Revision/Correction Table missing from cover sheet or not in Notes and Templates format (CVR-14)	Is there a Revision/Correction Table or Corrections Table visible on this cover sheet? If yes, descr
20260507T092604380Z-tnwc	cc-2:CC-2-14	1.00	exact	vision-only	generic	0.95	The agent is asking whether a PE seal with signature and date is present and visible in a specific location (title block or seal area) — this is a feature/element presence check and title-block inspection, not a measurement or drawing-symbol reasoning task.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)	Does this sheet have a professional engineer (PE) seal with signature and date visible in the title 
20260507T092604382Z-zsb7	cc-22:CC-22-13	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether width dimensions and radius measurements are annotated/labelled on the drawing itself—a drawing-element inspection task, not a measurement task. The agent is checking for the presence of dimension annotations on driveway features, which is a drawing_inspect problem.	inspect-drawing	True		Driveway widths or curb return radii not shown on plans (DRV-03)	Are driveway widths and curb return radii shown on this sheet? Look for width dimensions of driveway
