item_id	item_text	expected_vision	expected_specialist	notes
EL-1.1	Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground clearance from overhead electric conductors	yes	measure-distance	subClassification=distance-only
EL-1.10	Fence posts do not maintain minimum 10-foot horizontal clearance from overhead electric poles	yes	measure-distance	subClassification=distance-only
EL-1.11	Fences connecting to or near substation fences not electrically isolated with 10-foot non-conductive isolation panel connecting the two fences	no	none	classification=not-applicable; shouldCall=no
EL-1.12	Fencing near electric transmission lines not constructed of non-conductive material or not properly grounded, or specifications and grounding details not provided	no	none	classification=not-applicable; shouldCall=no
EL-1.13	Vehicle barrier fencing beneath overhead electric lines does not maintain minimum 7.5-foot sky-to-ground clearance from outermost electric line or lacks vertical and horizontal clearance verification exhibits	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.14	Retaining walls do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outermost electric line where overhead facilities are present	yes	measure-distance	subClassification=distance-only
EL-1.15	Retaining walls adjacent to Austin Energy substation walls do not maintain minimum 5-foot separation to allow for grounding grid extension, wall inspection, wall replacement, and proper drainage	yes	measure-distance	subClassification=distance-plus
EL-1.16	Emergency access structures (bridges, elevated platforms) do not maintain minimum 7.5-foot sky-to-ground clearance and 15-foot radial clearance from outside conductor of overhead electric facilities	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.17	Retaining walls lack section exhibits showing dimensions from outer electric conductor to outermost edge of wall for clearance verification	no	none	classification=not-applicable; shouldCall=no
EL-1.18	Driveways do not maintain minimum 16-foot vertical clearance (parking without truck traffic) or 18-foot vertical clearance (areas with truck traffic) from lowest point of overhead electric facilities including telecommunications attachments	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.19	Vehicles parked or displayed on concrete pads do not maintain minimum vertical clearance from lowest overhead electric lines, or requirement not noted on site plans	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.2	Customer facilities do not maintain minimum 15-foot radial clearance from outside conductor of overhead distribution primary and neutral conductors	yes	measure-distance	subClassification=distance-only
EL-1.20	Final road and driveway grades do not maintain minimum 30-foot vertical clearance from electric transmission lines to ground surface	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.21	Final highway and freeway grades with distribution underbuilt do not maintain minimum 40-foot vertical clearance from overhead electric lines to road surface	no	none	classification=vertical-or-mixed; shouldCall=no
EL-1.22	Existing electric poles in conflict with proposed driveways not relocated minimum 30 feet from edge of driveway	yes	measure-distance	subClassification=distance-only
EL-1.23	Clearance dimensions measured from utility pole or centerline instead of from outside conductor or outermost electric line as required by code	no	none	classification=not-applicable; shouldCall=no
EL-1.24	Streetlight poles located under overhead electric lines	yes	measure-distance	subClassification=distance-only
EL-1.25	Sidewalks not cleared from existing power poles at each end of property along right-of-way	yes	measure-distance	subClassification=distance-only
