department	checklist_item_id	run1_status	run2_status	run3_status	vote_split	majority_status	confidence	is_high_variance
crc-sp	SP-32.2	resolved	(missing)	failed	1-1 (1 missing)	failed	low	TRUE
crc-aw	AW-1.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-aw	AW-2.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-aw-redlines	AW-RL-3	failed	resolved	failed	2-1	failed	medium	TRUE
crc-awrr	AWRR-2.2	failed	failed	resolved	2-1	failed	medium	TRUE
crc-ca	CA-02.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-ca	CA-03.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-ca	CA-06.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-ca	CA-14.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-ca	CA-17.1	failed	resolved	resolved	2-1	resolved	medium	TRUE
crc-ca	CA-21.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-de	DE-1.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-de	DE-17.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-de	DE-2.1	failed	resolved	resolved	2-1	resolved	medium	TRUE
crc-de	DE-25.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-de	DE-26.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-de	DE-30.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-de	DE-35.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-de	DE-4.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-de	DE-6.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-de	DE-7.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-ev	EV-03.1	failed	resolved	resolved	2-1	resolved	medium	TRUE
crc-ev	EV-07.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-f	F-5.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-pr	PR-4.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-sp	SP-13.1	failed	failed	resolved	2-1	failed	medium	TRUE
crc-sp	SP-21.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-sp	SP-25.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-sp	SP-30.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-sp	SP-35.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-sp	SP-4.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-sp	SP-41.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-sp	SP-43.1	failed	failed	resolved	2-1	failed	medium	TRUE
crc-sp	SP-44.1	failed	resolved	resolved	2-1	resolved	medium	TRUE
crc-sp	SP-46.1	resolved	resolved	failed	2-1	resolved	medium	TRUE
crc-sp	SP-48.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-sp	SP-51.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-sp	SP-8.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-sp	SP-9.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-tpw	TPW-11.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-tpw	TPW-17.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-tpw	TPW-18.1	failed	not-applicable	failed	2-1	failed	medium	TRUE
crc-tpw	TPW-20.1	failed	resolved	failed	2-1	failed	medium	TRUE
crc-tpw	TPW-6.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-tpw	TPW-7.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-tpw	TPW-8.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-tpw	TPW-9.1	failed	failed	not-applicable	2-1	failed	medium	TRUE
crc-wq	WQ-7.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-wq	WQ-8.1	resolved	failed	failed	2-1	failed	medium	TRUE
crc-wq	WQ-9.1	resolved	failed	resolved	2-1	resolved	medium	TRUE
crc-sp	SP-15.2	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-15.3	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-15.4	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-25.2	resolved	(missing)	resolved	2-0 (1 missing)	resolved	medium	FALSE
crc-sp	SP-25.3	resolved	(missing)	resolved	2-0 (1 missing)	resolved	medium	FALSE
crc-sp	SP-25.4	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-25.5	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-32.3	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-tpw	TPW-13.2	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-tpw	TPW-17.2	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-tpw	TPW-17.3	failed	(missing)	failed	2-0 (1 missing)	failed	medium	FALSE
crc-sp	SP-10.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-12.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-14.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-22.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-28.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-38.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-39.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-sp	SP-49.1	(missing)	resolved	(missing)	1-0 (2 missing)	resolved	low	FALSE
crc-sp	SP-5.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-tpw	TPW-2.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-tpw	TPW-4.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-tpw	TPW-5.1	(missing)	failed	(missing)	1-0 (2 missing)	failed	low	FALSE
crc-aw-redlines	AW-RL-1	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-10	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-2	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-4	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-5	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-6	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-7	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-8	failed	failed	failed	3-0	failed	high	FALSE
crc-aw-redlines	AW-RL-9	failed	failed	failed	3-0	failed	high	FALSE
crc-awrr	AWRR-2.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-awrr	AWRR-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-awrr	AWRR-4.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-01.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-04.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-05.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-07.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-08.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-09.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-16.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-18.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-19.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-20.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ca	CA-22.1	failed	failed	failed	3-0	failed	high	FALSE
crc-cm	CM-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-cm	CM-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-cm	CM-12.1	failed	failed	failed	3-0	failed	high	FALSE
crc-cm	CM-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-cm	CM-9.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-0.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-12.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-14.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-16.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-18.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-19.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-20.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-21.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-22.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-23.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-24.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-27.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-28.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-29.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-31.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-32.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-33.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-5.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-8.1	failed	failed	failed	3-0	failed	high	FALSE
crc-de	DE-9.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-01.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-02.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-04.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-05.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-06.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-08.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-09.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-ev	EV-12.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-13.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-14.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-ev	EV-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-f	F-1.1	failed	failed	failed	3-0	failed	high	FALSE
crc-f	F-2.1	failed	failed	failed	3-0	failed	high	FALSE
crc-f	F-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-f	F-4.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-f	F-6.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-f	F-7.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-iw	IW-1.1	failed	failed	failed	3-0	failed	high	FALSE
crc-lde	LDE-1.1	failed	failed	failed	3-0	failed	high	FALSE
crc-owb	OWB-5.1	failed	failed	failed	3-0	failed	high	FALSE
crc-pb	PB-1.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-pb	PB-2.1	failed	failed	failed	3-0	failed	high	FALSE
crc-pr	PR-3.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-pr	PR-5.1	failed	failed	failed	3-0	failed	high	FALSE
crc-pr	PR-7.1	failed	failed	failed	3-0	failed	high	FALSE
crc-pr	PR-8.1	failed	failed	failed	3-0	failed	high	FALSE
crc-pr	PR-9.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-16.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-17.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-18.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-19.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-20.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-23.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-24.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-26.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-27.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-29.1	failed	failed	failed	3-0	failed	high	FALSE
