callId	matched_item_id	match_score	matched_grade	classifier_route	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	text_preview
20260506T132043166Z-0f8v	CC-20-01	0.58	vision-only	generic	0.98	This requires checking the title block and document-level elements (signature, seal, date presence, and seal text) rather than measuring distances or inspecting drawing symbols.	vision	True		Engineer's signature, seal, and date missing from front page of bound WQ/drainage documents, or seal
20260506T132115979Z-gk8f	ADR-04	0.91	vision-only	generic	0.95	This requires checking for the presence and labeling of text/annotations on the plan rather than measuring distances or inspecting geometric relationships.	vision	True		Main front entrance, building doors, entries, and access points not labeled on site plan
20260506T132121950Z-4q7v	AE-03	0.69	inspect-drawing-optional	drawing_inspect	0.95	This requires visual inspection of the plan sheets to verify whether electric utility facility symbols and lines (both overhead and underground) are present and properly depicted in the drawing.	vision	True	workflowPath_not_provided_specialists_unreachable	Existing electric utility facilities (overhead and underground) not shown on plan sheets
20260506T132127134Z-n7l2	CMP-01	0.91	inspect-drawing-optional	generic	0.95	This requires checking for the presence of a specific document or map deliverable (land use map) rather than measuring distances or inspecting drawing symbols and spatial relationships.	vision	True		Land use map showing adjacent land uses not provided
20260506T132134902Z-kejk	CC-23-01	0.76	inspect-drawing-optional	generic	0.85	This item requires checking whether a dimension or label is present on the drawing (the ROW width value), which is a document/drawing-level inspection rather than measuring a distance between objects or evaluating spatial relationships.	vision	True		Existing ROW width not shown or not dimensioned (GRD-01)
20260506T132141296Z-u8fo	ADR-05	0.96	inspect-drawing-optional	drawing_inspect	0.95	This requires visual inspection of the plan to identify whether specific features (driveway access points, handicap parking, garages, sidewalk access) are marked, labeled, or symbolized on the drawing.	vision	True	workflowPath_not_provided_specialists_unreachable	Driveway access points, handicap parking, garages, and sidewalk access not identified on plans
20260506T132144899Z-8arj	AE-03	0.93	inspect-drawing-optional	generic	0.95	This is a document-level inspection checking for the presence of proposed electric utility facilities on plan sheets, not a spatial measurement or drawing symbol/relationship analysis.	vision	True		Proposed electric utility facilities not shown on plan sheets
20260506T132144957Z-c90u	CC-15-06	0.83	vision-only	generic	0.95	This requires checking the cover sheet for the presence and correctness of a label/text field (watershed name and classification), which is a document-level inspection task rather than a measurement or drawing spatial relationship.	vision	True		Watershed name and classification not shown on cover sheet (ENV-01)
20260506T132149498Z-lbwr	CC-24-03	0.49	vision-only	drawing_inspect	0.92	This requires visual inspection of the drawing to identify whether bike racks are shown and to determine their spatial relationship to the property line and public right-of-way boundaries.	vision	True	workflowPath_not_provided_specialists_unreachable	License Agreement for streetscape elements in ROW (awnings, canopies, benches, bike racks, trash) no
20260506T132152049Z-pp5e	CC-23-02	0.89	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the drawing to verify whether behind-the-curb improvements (both existing and proposed) are depicted with appropriate symbols or lines, which is a spatial representation and drawing completeness issue rather than a measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Existing and proposed behind-the-curb improvements not shown (GRD-02)
