checklist_item_id	department	ref	total_invocations_current_run	vision_invocations	semantic_search_invocations	other_tools	historical_reviews_counted	notes
AW-1.1	crc-aw	crc-aw:AW-1.1	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-1.2	crc-aw	crc-aw:AW-1.2	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-1.3	crc-aw	crc-aw:AW-1.3	6	5	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-1.4	crc-aw	crc-aw:AW-1.4	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-2	crc-aw	crc-aw:AW-2	5	4	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-1	crc-aw-redlines	crc-aw-redlines:AW-RL-1	7	5	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-2	crc-aw-redlines	crc-aw-redlines:AW-RL-2	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-3	crc-aw-redlines	crc-aw-redlines:AW-RL-3	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-4	crc-aw-redlines	crc-aw-redlines:AW-RL-4	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-5	crc-aw-redlines	crc-aw-redlines:AW-RL-5	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-6	crc-aw-redlines	crc-aw-redlines:AW-RL-6	7	5	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-7	crc-aw-redlines	crc-aw-redlines:AW-RL-7	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-8	crc-aw-redlines	crc-aw-redlines:AW-RL-8	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-9	crc-aw-redlines	crc-aw-redlines:AW-RL-9	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AW-RL-10	crc-aw-redlines	crc-aw-redlines:AW-RL-10	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AWRR-2.1	crc-awrr	crc-awrr:AWRR-2.1	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AWRR-2.2	crc-awrr	crc-awrr:AWRR-2.2	4	1	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AWRR-3	crc-awrr	crc-awrr:AWRR-3	7	4	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
AWRR-4	crc-awrr	crc-awrr:AWRR-4	8	4	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-01.1	crc-ca-1	crc-ca-1:CA-01.1	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-01.2	crc-ca-1	crc-ca-1:CA-01.2	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-01.3	crc-ca-1	crc-ca-1:CA-01.3	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-02	crc-ca-1	crc-ca-1:CA-02	4	2	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-03	crc-ca-1	crc-ca-1:CA-03	6	2	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
