callId	deficiencyId	matched_classification	matched_should_call	classifier_route	expected_route_strict	route_correct_strict	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	checklist_text_preview	agent_question_preview
20260507T120431142Z-6pfx	EL-13.1	horizontal	yes	measurement	measurement	yes	0.92	The agent question explicitly asks for 'horizontal clearances (in feet)' from transformer pads to buildings/structures, which is a direct measurement task. While the question begins with a presence check ('Are transformer pads shown'), the primary and substantive request is quantitative clearance measurement, which aligns with the checklist requirement's 5-foot minimum clearance compliance check.	vision	True	measurement_arg_construction_not_implemented	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	Are transformer pads shown on the electrical plan? If so, what are their locations and what horizont
20260507T120438300Z-4zvf	EL-13.1	horizontal	yes	measurement	measurement	yes	0.92	Although the agent question begins with a presence check ('Are transformer pads shown'), the primary and substantive part of the question asks for 'clearance distance to the nearest building or structure,' which is a direct measurement question aligned with the 5-foot clearance requirement. The presence check is a preliminary step, but the agent is clearly asking for the actual clearance measurement needed to verify compliance.	vision	True	measurement_arg_construction_not_implemented	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	Are transformer pads shown on this electrical plan? If so, where are they located relative to buildi
20260507T120438504Z-5z8v	EL-2.14	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether overhead electric lines and tree locations are depicted on the landscape plan and whether their spatial relationship is clear enough to enable clearance verification. This is a drawing-inspection question about the presence and spatial representation of features, not a measurement of actual clearance distances. The agent is checking if the necessary visual elements exist and are properly related before a clearance measurement could be performed.	vision	True	specialist_script_not_found_in_bureau	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance 	Are overhead electric lines shown on this landscape plan? If so, are tree locations clearly shown in
20260507T120439669Z-72uu	EL-13.37	not-applicable	no	drawing_inspect		no	0.95	The agent is asking to identify transformer pad locations and read labeled dimensions from the electrical plan drawing. This is a drawing inspection task (locating features and reading dimension labels), not a measurement task (which would require measuring unlabeled distances between features). The dimensional compliance check against approved details comes later.	vision	True	specialist_script_not_found_in_bureau	Transformer pad dimensions do not match Austin Energy Design-approved transformer pad detail sheets 	What are the transformer pad locations shown on the electrical plan, and what dimensions are labeled
20260507T120441868Z-5vwo	EL-1.1	horizontal	yes	generic	measurement	no	0.95	The agent is performing a presence and sheet-discovery check (does OHE appear on this sheet, and where?), not yet measuring clearance distances. The checklist requirement is about clearance compliance, but the agent question is narrower—it's asking whether OHE features exist and are labeled on the plan, which is a prerequisite step before any clearance measurement can occur.	vision	True		Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground 	Are overhead electric utility lines, poles, or conductors shown on this sheet? If yes, describe thei
20260507T120442808Z-og51	EL-1.1	horizontal	yes	generic	measurement	no	0.95	The agent is performing a presence check to identify whether overhead electric infrastructure exists on the sheet at all, which is a prerequisite step before any clearance measurement can be attempted. This is sheet discovery and feature identification, not yet a measurement or drawing-relationship inspection.	vision	True		Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground 	Are there any overhead electric poles, conductors, or overhead utility lines shown on this existing 
20260507T120442924Z-38d3	EL-2.1	horizontal	yes	generic	measurement	no	0.95	The agent is performing a presence and location check (sheet discovery and feature identification) rather than measuring clearance. The agent is asking whether OHE infrastructure exists on the landscape plan and where it is located—this is a prerequisite step before any 15-foot lateral clearance measurement can occur.	vision	True		Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution condu	Are there overhead electric utility poles or distribution lines shown on this landscape plan? If yes
20260507T120445845Z-z5un	EL-1.1	horizontal	yes	drawing_inspect	measurement	no	0.92	The agent is asking about the presence and spatial relationship of overhead electric lines relative to buildings, and whether clearance dimensions are annotated on the drawing itself. This is a drawing-inspection task (identifying features, their locations, and dimensional annotations) rather than a measurement task, since the agent is checking what is shown on the plan, not yet performing a clearance calculation.	vision	True	specialist_script_not_found_in_bureau	Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground 	Are there any existing overhead electric lines shown on this site plan, and if so, where are they lo
20260507T120445929Z-20fl	EL-2.14	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether specific features (overhead electric lines/poles and tree planting locations) are shown on the landscape plan and how they relate spatially to each other. This is a drawing-inspection question about feature presence and spatial relationships in the drawing, not a measurement of actual clearance distances. The agent is performing progressive verification (presence and relationship check) before any clearance measurement would occur.	vision	True	specialist_script_not_found_in_bureau	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance 	Are overhead electric lines or poles shown on the landscape plan? If so, are tree planting locations
20260507T120458724Z-d3n2	EL-13.1	horizontal	yes	measurement	measurement	yes	0.99	The agent is directly asking for measured distances between transformer pads and building walls/structures, which is the core clearance measurement required by the checklist requirement.	vision	True	measurement_arg_construction_not_implemented	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	What are the measured distances from each transformer pad to the nearest building walls and structur
20260507T120501204Z-56p9	EL-2.10	not-applicable	no	drawing_inspect		no	0.95	The agent is asking to identify tree species and plant schedule symbols shown on the landscape plan near the OHE—this requires reading and interpreting drawing symbols and their legend mappings, not measuring distances or taking clearance readings. The question is aligned with the checklist requirement (plant legend/schedule identification) and focuses on symbol recognition and spatial relationships in the drawing.	vision	True	specialist_script_not_found_in_bureau	Plant legend or plant schedule does not identify species of trees proposed near electric facilities	On the landscape plan, what specific tree species are shown along the south edge of the property nea
20260507T120502171Z-6b74	EL-1.1	horizontal	yes	generic	measurement	no	0.95	The agent is asking a presence and location discovery question (do OHE lines appear on the plan, and where are they relative to buildings), not yet performing the clearance measurement that the checklist requirement ultimately demands. This is progressive verification: sheet/feature discovery before measurement.	vision	True		Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground 	Are overhead electric utility lines, poles, or conductors shown on this site plan? If yes, describe 
