checklist_item_id	checklist_item_deficiency_text	grade	condition	expected_vision_tool_call	actual_vision_tool_call	finding_status
cc-1:CC-1-01	Completed CC Application PDF missing from submittal package (INT-01)	no-tool	always	none	not called	pass
cc-1:CC-1-02	CC Application has incomplete or missing required fields in Sections 1-11 (INT-02)	vision-only	always	vision_check (generic)	not called	fail
cc-1:CC-1-03	CC Application Section 13 (Submittal Verification) missing signature, printed name, firm, or date (INT-03)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-04	CC Application Section 14 (Inspection Authorization) not signed by owner or authorized agent, or missing printed name, firm, or date (INT-04)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-05	CC Application Section 15 (Acknowledgment Form) not signed by applicant, or missing printed name or date (INT-05)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-06	Owner authorization signature missing, and no agent authorization letter signed by owner provided (INT-06)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-08	Current Tax Certificate missing from submittal (required even if tax-exempt) (INT-08)	no-tool	always	none	not called	pass
cc-1:CC-1-09	Bound Engineering Report missing, or front page lacks signature, seal, or date (INT-09)	vision-only	conditional	vision_check (generic)	vision_check (generic -> vision)	pass
cc-1:CC-1-10	Engineer's Summary Letter missing as separate document from bound Engineering Report (INT-10)	no-tool	always	none	not called	pass
cc-1:CC-1-11	Engineer's Summary Letter does not bear signature, seal, and date of TX PE (INT-11)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-12	Small project exception not documented for project per LDC 25-5-3 (no slopes/trenches >5 ft) (INT-12)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-1:CC-1-13	Completed TIA Determination Worksheet missing or unsigned (INT-13)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-1:CC-1-14	TIA report and technical addendum missing when TIA Determination Worksheet indicates TIA is required (INT-14)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-15	Completed Project Review Form (Statement of Applicable Codes) missing from submittal (INT-15)	no-tool	always	none	not called	pass
cc-1:CC-1-16	PRF has incomplete required fields (Project Name, Address, Legal Description, applicable code selection, owner/agent signature, or date) (INT-16)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-17	PRF Box C (Vested Rights) is checked but PRF has not been approved by Vested Rights Review (INT-17)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-1:CC-1-18	Vested Rights Petition with supporting documentation not attached when PRF Box C is checked (INT-18)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-19	Legible location map missing, not a separate PDF, or site area not marked in red (INT-19)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-1:CC-1-20	Complete set of plans not included, or plan set missing cover sheet (INT-20)	no-tool	always	none	not called	pass
cc-1:CC-1-21	Cover sheet does not bear engineer's signature and seal (INT-21)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-22	Legal description or Land Status Report missing from plan set (INT-22)	no-tool	always	none	not called	pass
cc-1:CC-1-23	Limits of construction (including access drives) or property boundaries not shown, or missing bearings and dimensions (INT-23)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-1:CC-1-24	Existing utilities and crossovers not identified on plan sheets (INT-24)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-1:CC-1-25	Existing easements and setbacks not identified on plan sheets (INT-25)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-1:CC-1-26	One or more sheets not sealed by active TX PE, or missing dated signature or engineering firm registration number (INT-26)	vision-only	always	vision_check (generic)	not called	pass
cc-1:CC-1-27	Previously approved set of plans not included for extension application (INT-27)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-28	Previously approved PRF not verified by Vested Rights Review for extension application (INT-28)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-1:CC-1-29	Previously approved unmarked set of plans not included for revision application (INT-29)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-30	Proposed set of plans with changes marked in red not included for revision application (INT-30)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-1:CC-1-31	S.M.A.R.T. Housing certification letter missing when requesting S.M.A.R.T. fees/review times (INT-31)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-32	Density Bonus 90 certification letter missing when pursuing DB90 (INT-32)	no-tool	conditional	none	not called	fail
cc-1:CC-1-34	Photograph of front and side facades missing for building over 45 years old proposed for demolition or relocation (INT-34)	no-tool	conditional	none	not called	not-applicable
cc-1:CC-1-41	Submittal files not in PDF format (AW rejects other file types) (INT-41)	no-tool	always	none	not called	pass
cc-10:AE-01	codes/general-site-plan-notes/contents/General Site Plan Notes for COA.md	vision-only	always	vision_check (generic)	not called	pass
cc-10:AE-02	Existing electric utility facilities (overhead and underground) not shown on plan sheets	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (routing unknown)	pass
cc-10:AE-03	Proposed electric utility facilities not shown on plan sheets	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-10:AEGB-02	Letter of Intent signed by Green Building Program staff and development point of contact not present	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-13:AW-01	Current AW General Info Sheet (Feb 7, 2025, v2.0) not included or not presented as 2-sheet template with title block	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-02	Boxes, tables, text, or title block removed, revised, reduced, or otherwise modified from AW General Info Sheet template without AW authorization (rejection risk)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-03	Project Information section or Fire/Domestic/Irrigation Demand Data table on AW General Info Sheet not completed (missing project info fields or any of: PSI, fire flow, WSFU, domestic demand, irrigation, velocities, LUEs)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-05	AW Infrastructure Information table incomplete (missing product type, length, size, or services for W/WW/reclaimed)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-06	Meter Notice section not completed (potable, combo, irrigation, reclaimed, OWRS backup fields)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-07	Building Water Meter Size Table not completed for large property with multiple dedicated meters	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-13:AW-08	Onsite Water Reuse, AW Reclaimed Information, or Automated Metering Information checkboxes not completed (building area >=250K sf, distance to reclaimed main, DCU service area, dedicated DCU easement)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-10	AULCC Requirement checkbox not completed (>300 LF of W/WW in ROW), or UCC number not provided and no acknowledgment that UCC is pending when AULCC review applies	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-11	Fire flow test data not present on page 2 of AW General Info Sheet	vision-only	conditional	vision_check (generic)	not called	pass
cc-13:AW-12	Fire flow map not present on page 2 of AW General Info Sheet	vision-only	conditional	vision_check (generic)	not called	pass
cc-13:AW-13	Service Extension Request (with map exhibit) not present on page 2 of AW General Info Sheet	vision-only	conditional	vision_check (generic)	not called	pass
cc-13:AW-14	UCM Waiver Summary table not completed when more than 3 UCM waivers are needed	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-13:AW-16	SER design not included and no reference to separate submittal provided	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-18	Profile view missing for public water/reclaimed/wastewater mains, or plan view not at top half of sheet per UCM 2.5.1.E.3	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	fail
cc-13:AW-19	General location map missing, or Grid number and Mapsco Page number not shown	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-13:AW-20	Standard AW construction notes missing from plan sheets or substantive content not matching Notes and Templates / current AW General Info Sheet (~90% semantic threshold)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-21	Size, pipe material, or location of W/WW/reclaimed mains not shown with respect to easements/ROW, or pipes >=24 inches not shown as double lines	inspect-drawing-required	always	vision_check (drawing_inspect)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-13:AW-22	Location, size, or material of existing water and wastewater infrastructure not shown	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-13:AW-23	Wastewater flow direction not indicated on plan views	inspect-drawing-required	always	vision_check (drawing_inspect)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-13:AW-25	Available fire flow at 20 PSI in GPM not shown on AW General Info Sheet per current IFC	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-27	Recorded easement recordation numbers (volume/page) not shown for existing easements, or proposed easement limits not indicated	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-13:AW-28	Retaining walls not showing all components (geogrid, straps, tie-backs) or components not identified	inspect-drawing-required	always	vision_check (drawing_inspect)	not called	pass
cc-13:AW-29	Physical obstructions in ROW (utility poles, trees, storm inlets) affecting W/WW/reclaimed not identified on plans	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-13:AW-30	TCEQ crossing compliance details not shown where W/WW/reclaimed mains cross each other	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-13:AW-31	Curve data for roads, property lines, water, and reclaimed water lines not shown	vision-only	always	vision_check (generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-13:AW-32	Typical cross sections not provided for private streets/easements with multiple utilities	inspect-drawing-required	always	vision_check (drawing_inspect)	not called	not-applicable
cc-13:AW-33	Overall location maps and key maps not provided for utility lines requiring >=3 plan/profile sheets	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-13:AW-36	"Plan/profile sheets not using standard AW scales per UCM 2.5 (H 1""=40'/30'/20'; V 1""=4'/3'/2') or below minimum sheet size (22"" x 34"")"	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-37	Copy of recorded final plat or land status determination not provided (or approved final plat without Pipeline Engineering approval)	no-tool	always	none	not called	pass
cc-13:AW-38a	Floodplain (25-yr/100-yr per ATLAS 14), CWQZ, or erosion hazard zones not shown on plans	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-13:AW-38b	Storm sewers, easements, or watercourse centerlines not shown on plans	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-13:AW-39	Drain field not delineated on plans for property not on City sewer system	inspect-drawing-required	conditional	vision_check (drawing_inspect)	not called	not-applicable
cc-13:AW-41	Engineer's report per TCEQ Chapter 217 not submitted prior to formal review for force mains/lift stations	no-tool	conditional	none	not called	not-applicable
cc-13:AW-45	Street address not shown for all existing structures on the lot(s)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-46	Roadways, drives, overpasses, bridges, culverts, drainage structures, or pavers not labeled on plans	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-13:AW-49	Project title, date of plans, or revision dates missing from Austin Water plan sheets (BAS-16)	vision-only	always	vision_check (generic)	not called	pass
cc-13:AW-53	Subdivision file number or required permit numbers missing from cover sheet (CVR-35)	vision-only	always	vision_check (generic)	not called	pass
cc-15:CC-15-01	Tree survey for regulated trees (8-inch diameter and larger) within or having CRZ touching LOC missing, or not certified by licensed surveyor (TRE-01)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-15:CC-15-02	Tree protection plan per LDC 25-8-604 not present in plan set (TRE-04)	vision-only	always	vision_check (generic)	not called	pass
cc-15:CC-15-04	"CC Application Section 12 (City Arborist Review) missing tree counts (>=8"" within LOC, immediately adjacent, total) (TRE-08)"	vision-only	always	vision_check (generic)	not called	pass
cc-15:CC-15-05	Consultation Tree Permit Number not provided in CC Application Section 12 (TRE-09)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-15:CC-15-06	Watershed name and classification not shown on cover sheet (ENV-01)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-15:CC-15-07	Watershed classification and standard environmental notes not included in plan set (ENV-02)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-15:CC-15-08	ERI report per ECM 1.3.1 not present, and no approved ERI waiver per ECM 1.3.2 documented (ENV-03)	no-tool	conditional	none	not called	pass
cc-15:CC-15-09	Erosion & Sedimentation Control Plan sheet not present in plan set (ENV-18a)	vision-only	always	vision_check (generic)	not called	pass
cc-15:CC-15-10	ECM Appendix Q-1 table (Net Site Area information) not included in plan set (ENV-45a)	vision-only	conditional	vision_check (generic)	not called	not-applicable
