deficiency_id	deficiency	classification	should_call_md	subClassification	status_run_1	status_run_2	status_run_3	majority_status	majority_count
EL-1.1	Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground clearance from overh	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-1.10	Fence posts do not maintain minimum 10-foot horizontal clearance from overhead electric poles	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.11	Fences connecting to or near substation fences not electrically isolated with 10-foot non-conductive isolation panel con	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.12	Fencing near electric transmission lines not constructed of non-conductive material or not properly grounded, or specifi	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.13	Vehicle barrier fencing beneath overhead electric lines does not maintain minimum 7.5-foot sky-to-ground clearance from 	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-1.14	Retaining walls do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outermost electric line where o	horizontal	yes	distance-only	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-1.15	Retaining walls adjacent to Austin Energy substation walls do not maintain minimum 5-foot separation to allow for ground	horizontal	yes	distance-plus	missing	missing	missing	missing	3/3
EL-1.16	Emergency access structures (bridges, elevated platforms) do not maintain minimum 7.5-foot sky-to-ground clearance and 1	vertical-or-mixed	no		missing	missing	missing	missing	3/3
EL-1.17	Retaining walls lack section exhibits showing dimensions from outer electric conductor to outermost edge of wall for cle	not-applicable	no		fail	missing	not-verifiable	fail	1/3
EL-1.18	Driveways do not maintain minimum 16-foot vertical clearance (parking without truck traffic) or 18-foot vertical clearan	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-1.19	Vehicles parked or displayed on concrete pads do not maintain minimum vertical clearance from lowest overhead electric l	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
